Top 30 in network fig3a.sigcombine.genes.v2.tsv ranked by MCC method
Rank,Name,Score
1,CEP170B,1.0397646E7
2,CREBBP,9370638.0
3,MKL1,8978150.0
4,MLLT11,8149620.0
5,SEPT2,8139750.0
6,CASC5,7906878.0
7,FNBP1,7119606.0
8,SEPT5,6798978.0
9,LAMC3,6795312.0
10,SEPT9,5174760.0
11,GIGYF2,4893942.0
12,TCF12,4342084.0
13,CLTC,4212334.0
14,KMT2A,3758634.0
15,ACER1,3750336.0
16,PDS5A,3745320.0
17,TET1,3526548.0
18,MYH11,3438054.0
19,VAV1,2894790.0
20,MLLT1,2700732.0
21,MYO1F,2374710.0
22,AFF4,2247582.0
23,PFDN4,2226804.0
24,DCP1A,1830288.0
25,ACTN4,1814934.0
26,ELL,1795608.0
27,EPS15,1766466.0
28,MLLT6,1568906.0
29,CLTA,1448308.0
30,AKAP13,1241450.0
