Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ELK4 human tf ARCHS4 coexpression	7/299	2.3586556984627308E-7	2.2029844223641905E-4	0	0	20.51012507444908	312.9845868516797	AKAP13;CREBBP;KMT2A;FNBP1;MYH11;PDS5A;MLLT6
KLF12 human tf ARCHS4 coexpression	6/299	4.660505519179707E-6	5.441140193642309E-4	0	0	16.78924914675768	206.1113138402929	MLLT11;AKAP13;CREBBP;KMT2A;TCF12;MLLT6
IKZF1 human tf ARCHS4 coexpression	6/299	4.660505519179707E-6	5.441140193642309E-4	0	0	16.78924914675768	206.1113138402929	SEPT9;AKAP13;FNBP1;VAV1;MYO1F;MLLT6
FOXJ3 human tf ARCHS4 coexpression	6/299	4.660505519179707E-6	5.441140193642309E-4	0	0	16.78924914675768	206.1113138402929	AKAP13;CREBBP;KMT2A;PDS5A;AFF4;MLLT6
ZC3H11A human tf ARCHS4 coexpression	6/299	4.660505519179707E-6	5.441140193642309E-4	0	0	16.78924914675768	206.1113138402929	AKAP13;CREBBP;CLTC;PDS5A;AFF4;EPS15
GATAD2B human tf ARCHS4 coexpression	6/299	4.660505519179707E-6	5.441140193642309E-4	0	0	16.78924914675768	206.1113138402929	AKAP13;CREBBP;KMT2A;FNBP1;AFF4;MLLT6
CHD2 human tf ARCHS4 coexpression	6/299	4.660505519179707E-6	5.441140193642309E-4	0	0	16.78924914675768	206.1113138402929	AKAP13;CREBBP;KMT2A;AFF4;GIGYF2;MLLT6
HELZ human tf ARCHS4 coexpression	6/299	4.660505519179707E-6	5.441140193642309E-4	0	0	16.78924914675768	206.1113138402929	AKAP13;CREBBP;KMT2A;PDS5A;AFF4;EPS15
HIVEP2 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;AKAP13;CREBBP;FNBP1;MLLT6
RUNX3 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;FNBP1;VAV1;MYO1F;MLLT6
NFKB2 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;ELL;FNBP1;VAV1;MLLT6
TCF7 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;FNBP1;VAV1;MYO1F;MLLT6
PRDM2 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	AKAP13;CREBBP;KMT2A;FNBP1;MLLT6
TRERF1 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;CREBBP;MKL1;MYO1F;MLLT6
ETS1 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;AKAP13;FNBP1;VAV1;MLLT6
SP2 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;CREBBP;ELL;MYO1F;MLLT6
JUNB human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;AKAP13;ELL;MYO1F;MLLT6
NR2C2 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	AKAP13;CREBBP;KMT2A;PDS5A;MLLT6
FOXP4 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;CEP170B;MLLT1;ACTN4;MLLT6
GFI1 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	FNBP1;MKL1;VAV1;MYO1F;MLLT6
ZNF318 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;AKAP13;CREBBP;FNBP1;MLLT6
ZMAT3 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	FNBP1;CLTC;AFF4;EPS15;SEPT2
ZNF609 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;CREBBP;KMT2A;PDS5A;MLLT6
ZBTB40 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;AKAP13;CREBBP;PDS5A;MLLT6
ZNF335 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;ELL;MKL1;MYO1F;MLLT6
ZNF831 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;AKAP13;VAV1;MYO1F;MLLT6
FOXK1 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;CREBBP;KMT2A;CEP170B;MLLT6
AFF1 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	AKAP13;CREBBP;KMT2A;PDS5A;MLLT6
PRR12 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;CREBBP;CEP170B;MLLT1;MLLT6
MACF1 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	AKAP13;CREBBP;KMT2A;PDS5A;AFF4
NCOR2 human tf ARCHS4 coexpression	5/299	7.573492379705882E-5	0.002281819962143643	0	0	13.385034013605441	127.00083219572778	SEPT9;CEP170B;MLLT1;ACTN4;MLLT6
NFYC human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	ELL;MKL1;VAV1;MYO1F
MNT human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	CREBBP;MLLT1;MYO1F;MLLT6
CIC human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;MLLT1;MLLT6
HIVEP1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CREBBP;KMT2A;FNBP1
NFATC2 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;AKAP13;FNBP1;MLLT6
ELF4 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;VAV1;MYO1F;MLLT6
NFAT5 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CREBBP;KMT2A;AFF4
PRDM4 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	CREBBP;CLTC;PDS5A;AFF4
PPARD human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;ACTN4;MLLT6
TFEB human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	ELL;FNBP1;VAV1;MYO1F
ASH1L human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CREBBP;KMT2A;AFF4
NR4A1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CEP170B;MYH11;MLLT6
MXD4 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;MLLT1;MLLT6
PAX1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	MLLT1;ACTN4;GIGYF2;MLLT6
BCL11B human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CREBBP;KMT2A;MLLT6
ZNF236 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CREBBP;KMT2A;GIGYF2
NFATC1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;FNBP1;VAV1;MLLT6
LEF1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;FNBP1;VAV1;MLLT6
SMAD4 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CREBBP;PDS5A;AFF4
UBP1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CLTC;PDS5A;MLLT6
SKI human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;MLLT1;MLLT6
ZHX1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	LAMC3;CLTC;AFF4;EPS15
STAT6 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;VAV1;MYO1F;MLLT6
KLF13 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;FNBP1;MYO1F;MLLT6
ZNF282 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;MLLT1;ACTN4
ZNF24 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	CLTC;PDS5A;AFF4;SEPT2
ZBTB4 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;SEPT5;MLLT6
ZBTB38 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;CLTC;AFF4;EPS15
ZHX2 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;AKAP13;CREBBP;MLLT6
SP1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;AKAP13;CREBBP;PDS5A
MAFK human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;ACTN4;MLLT6
WIZ human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;MLLT1;ACTN4
ZNF510 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	CLTC;PDS5A;AFF4;EPS15
ZBTB1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	AKAP13;FNBP1;PDS5A;MLLT6
ZNF710 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;ELL;MYO1F;MLLT6
PRDM8 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	CREBBP;MKL1;SEPT5;MLLT6
MIER3 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	CLTC;TCF12;PDS5A;AFF4
CUX1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	CREBBP;CEP170B;MLLT1;ACTN4
ZNF592 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CREBBP;MYO1F;MLLT6
ZFP41 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CEP170B;MLLT1;MLLT6
ZFP36L1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;ELL;MYO1F;MLLT6
ZFP91 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;CLTC;ACTN4;PDS5A
CXXC1 human tf ARCHS4 coexpression	4/299	9.873962124732382E-4	0.010479864346022778	0	0	10.260756192959583	71.00893905111197	SEPT9;ELL;MKL1;MLLT6
