Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RUNX1 CHEA	12/1294	1.4837128639295447E-7	1.1424589052257495E-5	0	0	9.718148725949037	152.80377808850034	MLLT11;SEPT9;CREBBP;ELL;FNBP1;CLTC;TCF12;CASC5;AFF4;VAV1;MYO1F;MLLT6
CEBPD ENCODE	7/734	8.476019263124634E-5	0.003263267416302984	0	0	8.055798098199869	75.52862178251678	MLLT11;KMT2A;CASC5;PDS5A;DCP1A;AFF4;SEPT2
ZNF384 ENCODE	5/730	0.004266234536507436	0.07594039376804601	0	0	5.308965517241379	28.97115055641861	CREBBP;ELL;CLTC;TCF12;AFF4
YY1 ENCODE	10/2753	0.005215941433610065	0.07594039376804601	0	0	3.1401749908858916	16.504871801829204	CREBBP;KMT2A;ELL;CLTC;TCF12;CASC5;PFDN4;DCP1A;GIGYF2;SEPT2
GATA2 CHEA	5/772	0.005403770848570309	0.07594039376804601	0	0	5.007301173402868	26.14140825037531	SEPT9;CREBBP;MKL1;MLLT1;ACTN4
POU5F1 CHEA	3/261	0.006875758621368781	0.07594039376804601	0	0	8.489233419465977	42.27428810611354	ELL;CLTC;MLLT6
TAF1 ENCODE	11/3346	0.0069036721607314555	0.07594039376804601	0	0	2.887792945632447	14.368796591508087	ELL;FNBP1;CLTC;MKL1;TCF12;CLTA;ACTN4;PFDN4;DCP1A;AFF4;SEPT2
PBX3 ENCODE	6/1269	0.01027399751830591	0.0901880965069258	0	0	3.7028899445764054	16.952345195634418	AKAP13;CLTC;MKL1;TCF12;MLLT1;AFF4
HNF4A ENCODE	6/1276	0.010541465825484835	0.0901880965069258	0	0	3.6811023622047245	16.75799275264842	SEPT9;ELL;CASC5;ACTN4;PDS5A;EPS15
CEBPB ENCODE	2/144	0.01962837334808242	0.13985743708873924	0	0	9.9738430583501	39.20497423677295	MLLT11;CASC5
RCOR1 ENCODE	4/702	0.01997963386981989	0.13985743708873924	0	0	4.247740797884064	16.621587428360943	MLLT11;CREBBP;TCF12;MLLT1
ETS1 ENCODE	2/156	0.022794732213180412	0.14626619836790766	0	0	9.191094619666048	34.7536042255875	CLTC;AFF4
STAT3 CHEA	2/177	0.02880466483930554	0.1706122455866559	0	0	8.079591836734695	28.660073041412296	AKAP13;MLLT6
UBTF ENCODE	6/1631	0.031693303850816916	0.17431317117949305	0	0	2.8223076923076924	9.741617938054244	FNBP1;CLTC;TCF12;AFF4;EPS15;SEPT5
BCLAF1 ENCODE	4/851	0.0370422194696518	0.18891009821562316	0	0	3.4734356552538372	11.44739129543179	CLTC;TCF12;PDS5A;DCP1A
ZBTB7A ENCODE	7/2184	0.03925404638246715	0.18891009821562316	0	0	2.487487767370334	8.053741003862925	MLLT11;FNBP1;CLTC;TCF12;TET1;AFF4;MLLT6
PPARG CHEA	3/535	0.045293835275132935	0.1900948805837597	0	0	4.059732664995823	12.56318513940736	SEPT9;ACTN4;DCP1A
ZMIZ1 ENCODE	4/914	0.04620970990202626	0.1900948805837597	0	0	3.2223161453930684	9.907221509168822	MLLT11;KMT2A;FNBP1;VAV1
STAT5A ENCODE	2/233	0.047478053666648735	0.1900948805837597	0	0	6.103586889301175	18.600605987994268	KMT2A;EPS15
ATF2 ENCODE	8/2852	0.054328569661155866	0.1900948805837597	0	0	2.1897455568341644	6.378082932048151	ELL;CLTC;MKL1;TCF12;CASC5;DCP1A;AFF4;SEPT2
USF2 ENCODE	4/965	0.05449672214135594	0.1900948805837597	0	0	3.0431441607300087	8.85437705523612	CLTC;AFF4;GIGYF2;SEPT2
TCF7L2 ENCODE	3/583	0.0559081413133252	0.1900948805837597	0	0	3.71455938697318	10.712957425520402	MKL1;PFDN4;MLLT6
USF1 ENCODE	5/1423	0.058383249352332155	0.1900948805837597	0	0	2.6166431593794077	7.433166926607119	CLTC;CLTA;AFF4;GIGYF2;SEPT2
CREB1 CHEA	5/1444	0.06145704420120387	0.1900948805837597	0	0	2.575538568450313	7.184250594341987	KMT2A;ELL;CLTC;CASC5;DCP1A
TCF3 CHEA	4/1006	0.06171911707264925	0.1900948805837597	0	0	2.9123291877782895	8.111307295007135	FNBP1;ACTN4;GIGYF2;MLLT6
NFE2L2 CHEA	4/1022	0.0646722077486552	0.1901800360598535	0	0	2.8641378268097326	7.8432229778171045	KMT2A;FNBP1;CLTC;MKL1
PPARD CHEA	2/285	0.06779219297749729	0.1901800360598535	0	0	4.968955073195356	13.372989725178984	ELL;DCP1A
FOS ENCODE	3/637	0.06915637674903764	0.1901800360598535	0	0	3.388713634770417	9.052558803517163	KMT2A;MKL1;AFF4
CHD1 ENCODE	3/655	0.07386835977072145	0.19613323111536388	0	0	3.2920927062031358	8.577451061214477	MLLT11;CLTC;PDS5A
EGR1 CHEA	2/315	0.08061173767239266	0.20690346002580784	0	0	4.485851209493382	11.295871326049452	CLTC;ACTN4
SP1 ENCODE	3/707	0.08827313680833149	0.21876438607303206	0	0	3.040719696969697	7.380798044404993	MKL1;MLLT1;EPS15
EZH2 ENCODE	2/338	0.09091506953684449	0.21876438607303206	0	0	4.17389455782313	10.008287542608343	TET1;MYO1F
BHLHE40 ENCODE	2/348	0.09551272083763597	0.22286301528781727	0	0	4.051197357555739	9.51422013264112	CLTC;MLLT1
VDR CHEA	1/76	0.10800952509913052	0.24460980684214853	0	0	9.14712643678161	20.3572579045293	ELL
KAT2A ENCODE	1/90	0.12663583920182195	0.2785988462440083	0	0	7.702828361100349	15.917430476118055	CLTC
KLF4 CHEA	3/987	0.18277676058833106	0.3858977407276872	0	0	2.1438572719060525	3.6434634768711653	MLLT11;CLTC;MLLT6
SP2 ENCODE	3/994	0.18543138190810943	0.3858977407276872	0	0	2.127929140038121	3.585710352315477	AKAP13;MKL1;MLLT1
BRCA1 ENCODE	7/3218	0.1973978118234377	0.3999903029053869	0	0	1.5884662776055136	2.577340919785478	CLTC;TCF12;PDS5A;PFDN4;DCP1A;AFF4;SEPT2
E2F6 ENCODE	7/3245	0.20334427689861168	0.40147459797931023	0	0	1.5726830840293258	2.5050557853068685	CREBBP;LAMC3;TCF12;MLLT1;PDS5A;AFF4;MLLT6
SPI1 CHEA	3/1056	0.20939939360756568	0.40309383269456395	0	0	1.9960958109106257	3.1209195068046074	CLTA;SEPT2;VAV1
NANOG CHEA	2/595	0.2241063352161086	0.4208826295522039	0	0	2.334015899783185	3.4908350043066187	ACTN4;MLLT6
TAF7 ENCODE	2/640	0.24923421353290387	0.4569293914769904	0	0	2.1643528884908196	3.0070701080924054	CLTC;SEPT2
E2F4 ENCODE	2/710	0.2885421449868176	0.5147800197009995	0	0	1.9433010492332525	2.415356314590823	CASC5;PDS5A
STAT3 ENCODE	2/725	0.2969640820863506	0.5147800197009995	0	0	1.9015016795099782	2.3086970134269444	MKL1;AFF4
EZH2 CHEA	1/237	0.30084546605902573	0.5147800197009995	0	0	2.8834015195791936	3.4634223821733587	PFDN4
NRF1 ENCODE	4/1882	0.31094368983072457	0.5204926981949085	0	0	1.4821004341771116	1.7313059067697394	CASC5;ACTN4;GIGYF2;SEPT2
SOX2 CHEA	2/775	0.3249500436736978	0.5260687614457191	0	0	1.7738865274440954	1.9939971444425177	MLLT11;MLLT6
IRF1 ENCODE	1/263	0.32793896817395474	0.5260687614457191	0	0	2.5938404843379836	2.8919447624321584	CLTC
NFIC ENCODE	1/279	0.3441044002335887	0.5407354860813536	0	0	2.4425700818655423	2.605758625280671	CLTC
TCF3 ENCODE	2/840	0.36097019769223476	0.5558941044460416	0	0	1.6307534947153086	1.6616723835336742	AFF4;GIGYF2
FOXA2 ENCODE	1/316	0.38006032356905	0.5738165669571932	0	0	2.1516146688560482	2.081526450636916	EPS15
YY1 CHEA	1/332	0.3950117590805432	0.5849212586384966	0	0	2.0459422856547556	1.9003525102784313	CASC5
SPI1 ENCODE	3/1540	0.40988671876515853	0.593035872373163	0	0	1.3325381334489987	1.1884567190782853	CLTA;ACTN4;VAV1
SALL4 CHEA	1/355	0.41589528711884166	0.593035872373163	0	0	1.9107734268458991	1.6763631135645822	CLTC
REST ENCODE	1/383	0.4403792946825732	0.6064137582251123	0	0	1.7681892038274056	1.4501253672196162	KMT2A
NFYA ENCODE	4/2250	0.44102818780008174	0.6064137582251123	0	0	1.2140557572436468	0.9938824814956919	AKAP13;MKL1;CLTA;MLLT1
RELA ENCODE	1/484	0.5207186237216591	0.7034269127468027	0	0	1.3912329549510958	0.907842738470724	CLTC
EGR1 ENCODE	1/537	0.5582938423417214	0.7348768579337001	0	0	1.2502573340195573	0.7287373122764353	CLTC
RFX5 ENCODE	1/559	0.5730401593966401	0.7348768579337001	0	0	1.1996044988258558	0.6679391593720082	AKAP13
REST CHEA	2/1280	0.5806611405009846	0.7348768579337001	0	0	1.0447127207690587	0.5678932224189853	ACTN4;DCP1A
MYC CHEA	1/573	0.5821751731682558	0.7348768579337001	0	0	1.1693995659512901	0.6326263281550769	MLLT6
MAX ENCODE	3/2073	0.6141918020854746	0.7544215124517559	0	0	0.9608158883521203	0.46834780079484156	CLTC;MLLT1;AFF4
GABPA ENCODE	3/2082	0.6172539647332548	0.7544215124517559	0	0	0.9561755117310673	0.46133051951847825	CLTC;MLLT1;DCP1A
FLI1 ENCODE	1/650	0.6291378227605718	0.756931443008813	0	0	1.0265660698156314	0.47571577997857367	CLTC
ZBTB33 ENCODE	1/702	0.6579210770651522	0.7685309998611626	0	0	0.9478577401741355	0.39683988303378415	PDS5A
CREB1 ENCODE	3/2238	0.6678989040572821	0.7685309998611626	0	0	0.881680338056177	0.35586245861007515	CLTC;CASC5;DCP1A
MYC ENCODE	2/1515	0.6746772591493174	0.7685309998611626	0	0	0.871353035596261	0.34289557593041786	CLTC;MLLT1
NFYB ENCODE	5/3715	0.6787027011760917	0.7685309998611626	0	0	0.8765498652291105	0.339726267949007	AKAP13;MKL1;CLTA;MLLT1;SEPT2
