Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human	19/5071	1.2516681272055085E-5	0.006809074611997966	0	0	5.1004462679047	57.57612401006402	ELL;LAMC3;FNBP1;CLTC;MKL1;TCF12;CASC5;TET1;MLLT1;AFF4;GIGYF2;VAV1;MLLT6;MLLT11;AKAP13;MYH11;DCP1A;EPS15;MYO1F
EGR1 19374776 ChIP-ChIP THP-1 Human	3/68	1.4290160952272447E-4	0.03886923779018105	0	0	34.02564102564103	301.24105221590395	MLLT11;MKL1;VAV1
CTNNB1 20460455 ChIP-Seq HCT116 Human	7/988	5.262272313889954E-4	0.09542253795853783	0	0	5.891193546957408	44.477200133565034	CREBBP;FNBP1;CLTC;PDS5A;AFF4;EPS15;MLLT6
TP53 23651856 ChIP-Seq MEFs Mouse	12/3193	0.0013741885419111112	0.1820528332243953	0	0	3.51860002095777	23.18719368388571	MLLT11;AKAP13;ELL;LAMC3;CLTC;MKL1;TCF12;TET1;ACTN4;PDS5A;PFDN4;DCP1A
NUCKS1 24931609 ChIP-Seq HEPATOCYTES Mouse	5/588	0.0016732797171359862	0.1820528332243953	0	0	6.650771869639795	42.51818288468184	CLTC;ACTN4;DCP1A;EPS15;VAV1
MITF 21258399 ChIP-Seq MELANOMA Human	16/5578	0.002854550396384754	0.258650047843991	0	0	2.9604972517593877	17.345082464803866	ELL;LAMC3;FNBP1;CLTC;MKL1;CLTA;TET1;MLLT1;ACTN4;PDS5A;AFF4;GIGYF2;VAV1;AKAP13;MYH11;EPS15
LMO2 20887958 ChIP-Seq HPC-7 Mouse	8/1741	0.0033282175274042957	0.258650047843991	0	0	3.826679955935582	21.832427545744945	ACER1;CREBBP;FNBP1;TCF12;MLLT1;AFF4;GIGYF2;VAV1
DROSHA 22980978 ChIP-Seq HELA Human	4/456	0.004569345383043581	0.2924306901384724	0	0	6.643294758339006	35.79663199583744	ELL;CLTC;VAV1;MYO1F
LYL1 20887958 ChIP-Seq HPC-7 Mouse	5/752	0.0048380077412614915	0.2924306901384724	0	0	5.146720214190093	27.438463807972635	CREBBP;FNBP1;MLLT1;AFF4;GIGYF2
RUNX1 20887958 ChIP-Seq HPC-7 Mouse	6/1120	0.005670997252544649	0.3085022505384289	0	0	4.231597845601437	21.88747562649838	CREBBP;FNBP1;TCF12;AFF4;VAV1;MYO1F
TFEB 21752829 ChIP-Seq HELA Human	5/808	0.006538917863408518	0.3233792106994758	0	0	4.773848069738481	24.01237745916717	ELL;CLTC;CLTA;AFF4;GIGYF2
HNF4A 19822575 ChIP-Seq HepG2 Human	16/6083	0.0073308447888848155	0.33233163042944497	0	0	2.6189455838376228	12.873857883278392	ELL;FNBP1;CLTC;MKL1;CASC5;CLTA;TET1;MLLT1;ACTN4;PDS5A;GIGYF2;MLLT6;AKAP13;MYH11;PFDN4;EPS15
POU5F1 18555785 ChIP-Seq MESCs Mouse	4/555	0.009069353088836078	0.3795175446405251	0	0	5.4220298757503835	25.499016741851513	ELL;CLTC;DCP1A;MLLT6
CREM 20920259 ChIP-Seq GC1-SPG Mouse	15/5776	0.01174601456068831	0.4396147940205319	0	0	2.4664120812358967	10.96133039047626	CREBBP;ELL;LAMC3;CLTC;TCF12;CASC5;CLTA;MLLT1;ACTN4;PDS5A;AFF4;GIGYF2;MLLT11;AKAP13;EPS15
Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse	6/1331	0.012820839963856287	0.4396147940205319	0	0	3.517924528301887	15.326483077709742	AKAP13;CREBBP;FNBP1;CLTC;TCF12;MYO1F
FLI1 21571218 ChIP-Seq MEGAKARYOCYTES Human	15/5834	0.01292984688295682	0.4396147940205319	0	0	2.4318611445265508	10.574259795825565	ELL;LAMC3;FNBP1;CLTC;MKL1;CASC5;CLTA;MLLT1;ACTN4;AFF4;VAV1;MLLT11;DCP1A;EPS15;MYO1F
VDR 23849224 ChIP-Seq CD4+ Human	8/2231	0.014602014526223341	0.4672644648391469	0	0	2.9030384819858503	12.269970192895364	MLLT11;ELL;CLTC;CASC5;CLTA;PDS5A;DCP1A;AFF4
NANOG 18347094 ChIP-ChIP MESCs Mouse	7/1908	0.02037870494828437	0.5789169336094291	0	0	2.8928252864625024	11.262534855801668	LAMC3;CLTC;MKL1;MLLT1;ACTN4;EPS15;MLLT6
POU3F1 26484290 ChIP-Seq ESCss Mouse	7/2000	0.025728645924456266	0.5789169336094291	0	0	2.745238770479286	10.047986455551536	MLLT11;ACER1;ELL;FNBP1;CLTC;TET1;DCP1A
SA1 22415368 ChIP-Seq MEFs Mouse	7/2000	0.025728645924456266	0.5789169336094291	0	0	2.745238770479286	10.047986455551536	LAMC3;MKL1;TCF12;MLLT1;PDS5A;VAV1;MYO1F
MYB 26560356 Chip-Seq TH2 Human	7/2000	0.025728645924456266	0.5789169336094291	0	0	2.745238770479286	10.047986455551536	AKAP13;FNBP1;CLTC;ACTN4;PDS5A;MYO1F;MLLT6
LMO2 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse	7/2000	0.025728645924456266	0.5789169336094291	0	0	2.745238770479286	10.047986455551536	AKAP13;LAMC3;FNBP1;TCF12;EPS15;MYO1F;MLLT6
FLI1 26923725 Chip-Seq MACROPHAGESS Mouse	7/2000	0.025728645924456266	0.5789169336094291	0	0	2.745238770479286	10.047986455551536	MKL1;CLTA;MLLT1;PDS5A;PFDN4;EPS15;MLLT6
ZFP281 27345836 Chip-Seq ESCs Mouse	7/2000	0.025728645924456266	0.5789169336094291	0	0	2.745238770479286	10.047986455551536	MLLT11;CLTC;ACTN4;PFDN4;DCP1A;AFF4;MLLT6
ISL1 27105846 Chip-Seq CPCs Mouse	6/1576	0.027332635997026327	0.5789169336094291	0	0	2.929936305732484	10.546815052146894	ELL;FNBP1;MKL1;TCF12;TET1;MLLT6
FLI1 20887958 ChIP-Seq HPC-7 Mouse	7/2030	0.027668824032803595	0.5789169336094291	0	0	2.700015044380924	9.686166232621014	MLLT11;AKAP13;CLTA;ACTN4;DCP1A;VAV1;MYO1F
RELA 24523406 ChIP-Seq FIBROSARCOMA Human	5/1182	0.029692054731523896	0.5923024835652395	0	0	3.193372982158029	11.23069611795866	MLLT11;AKAP13;CLTA;PFDN4;MLLT6
YY1 21170310 ChIP-Seq MESCs Mouse	3/464	0.0316860630025494	0.5923024835652395	0	0	4.702096890817065	16.23106644615662	MLLT11;CASC5;TET1
ELK4 26923725 Chip-Seq MESODERM Mouse	3/466	0.03203449375141806	0.5923024835652395	0	0	4.6813054955603555	16.10810082089825	ACER1;FNBP1;CLTC
POU5F1 18347094 ChIP-ChIP MESCs Mouse	7/2109	0.03326337827078766	0.5923024835652395	0	0	2.587101311380466	8.80467733660354	MLLT11;ELL;LAMC3;CLTC;MKL1;MLLT1;MLLT6
SMARCD1 25818293 ChIP-Seq ESCs Mouse	7/2119	0.034023163445426434	0.5923024835652395	0	0	2.5734107378129116	8.699964958986179	AKAP13;CREBBP;MKL1;CASC5;TET1;EPS15;GIGYF2
VDR 20736230 ChIP-Seq LYMPHOBLASTOID Human	3/483	0.03507836977014975	0.5923024835652395	0	0	4.511574074074074	15.114542752000206	ACER1;PDS5A;DCP1A
FOXP2 23625967 ChIP-Seq PFSK-1 AND SK-N-MC Human	4/863	0.03869748891303212	0.5923024835652395	0	0	3.422763499597027	11.130760386194039	CLTC;ACTN4;PDS5A;PFDN4
CEBPD 23245923 ChIP-Seq MEFs Mouse	3/504	0.03904061871607823	0.5923024835652395	0	0	4.317808826790863	14.00331322214523	AKAP13;LAMC3;MKL1
PKCTHETA 26484144 Chip-Seq BREAST Human	3/506	0.039429565733035195	0.5923024835652395	0	0	4.300198807157058	13.903571973639373	CLTC;ACTN4;PFDN4
KDM5B 21448134 ChIP-Seq MESCs Mouse	10/3724	0.03974660919360168	0.5923024835652395	0	0	2.1884760366182014	7.058340197615861	CREBBP;CLTC;CASC5;CLTA;TET1;ACTN4;PDS5A;AFF4;GIGYF2;MLLT6
ETS2 20176728 ChIP-ChIP TROPHOBLAST STEM CELLS Mouse	2/215	0.04108335933626845	0.5923024835652395	0	0	6.62541918175721	21.149345898835282	ELL;EPS15
