Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HNF4A MUT MOUSE GSE3116 CREEDSID GENE 850 UP	5/229	2.1252454554601925E-5	0.012122019489553335	0	0	17.630357142857143	189.68568528875468	SEPT9;CLTC;TET1;MYH11;ACTN4
TAL1 KD JURKAT HUMAN GSE72299 RNASEQ UP	6/440	4.1558808880874415E-5	0.012122019489553335	0	0	11.253456221198157	113.52937958477078	CREBBP;CLTC;TCF12;MLLT1;PDS5A;MLLT6
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ DOWN	6/458	5.195236252382702E-5	0.012122019489553335	0	0	10.795353982300885	106.49814652089091	SEPT9;AKAP13;FNBP1;CLTC;EPS15;MYO1F
RUNX1 KO MOUSE GSE40155 CREEDSID GENE 1492 UP	5/286	6.137731387115612E-5	0.012122019489553335	0	0	14.013523131672597	135.90973749867737	SEPT9;KMT2A;CLTC;MKL1;ACTN4
ERG OE CD34 HUMAN GSE53665 RNASEQ UP	5/338	1.347401948985365E-4	0.018136379760734227	0	0	11.793993993993993	105.10998646906383	SEPT9;AKAP13;KMT2A;CLTC;MYO1F
HOXA11 SIRNA BT549 HUMAN GSE79586 RNASEQ DOWN	5/342	1.423567699680661E-4	0.018136379760734227	0	0	11.651632047477746	103.20053460456381	KMT2A;CLTC;MLLT1;ACTN4;AFF4
GLI1 SIRNA HCT116 HUMAN GSE56788 RNASEQ DOWN	5/351	1.607020991457463E-4	0.018136379760734227	0	0	11.34335260115607	99.09505443011766	SEPT9;KMT2A;CLTC;ACTN4;PDS5A
CTCF SIRNA HEK293 HUMAN GSE44267 RNASEQ DOWN	5/384	2.4390127851130132E-4	0.024085251252991005	0	0	10.338258575197889	86.00135761938124	SEPT9;CREBBP;ACTN4;PDS5A;AFF4
GATA6 OE HESC HUMAN GSE69322 MTESR1MEDIA RNASEQ UP	5/398	2.8774586896839225E-4	0.025257692942781095	0	0	9.962849872773537	81.23142759953812	SEPT9;AKAP13;CLTC;ACTN4;AFF4
ZNF142 SIRNA MCF7 HUMAN GSE79586 RNASEQ DOWN	4/243	4.5445305415566423E-4	0.035411908997192876	0	0	12.700997747022852	97.75216152511904	AKAP13;KMT2A;CLTC;ACTN4
VDR KO MOUSE GSE2421 CREEDSID GENE 1152 DOWN	4/260	5.861232570856864E-4	0.035411908997192876	0	0	11.84735576923077	88.16779006834565	SEPT9;CLTC;ACTN4;MYO1F
EZH1 SHRNA PROE HUMAN GSE59089 RNASEQ UP	5/470	6.152031061834414E-4	0.035411908997192876	0	0	8.389247311827956	62.026387337439886	AKAP13;CLTC;ACTN4;EPS15;MYO1F
MYCN SHRNA IMR575 HUMAN GSE80397 24HR RNASEQ UP	5/492	7.564150248977966E-4	0.035411908997192876	0	0	8.00123203285421	57.50421738347092	MLLT11;SEPT9;CREBBP;CLTC;AFF4
SETDB1 KD THP1 HUMAN GSE103409 SGRNA6DAY7 RNASEQ UP	5/493	7.633648938664073E-4	0.035411908997192876	0	0	7.9844262295081965	57.31041023086884	CLTC;ACTN4;PDS5A;VAV1;MYO1F
TCF3 KO MOUSE GSE19923 CREEDSID GENE 2167 UP	4/287	8.479771366319767E-4	0.035411908997192876	0	0	10.702364773036152	75.69415388767902	AKAP13;CREBBP;TCF12;PDS5A
PPARA KO MOUSE GSE6864 CREEDSID GENE 1371 DOWN	4/290	8.814321951766492E-4	0.035411908997192876	0	0	10.588488434642281	74.47903035761581	CLTC;CLTA;ACTN4;SEPT5
KLF10 SIRNA KLF10 HUMAN GSE90566 RNASEQ UP	4/291	8.927884521617056E-4	0.035411908997192876	0	0	10.55105869740016	74.08068078852267	SEPT9;CLTC;ACTN4;AFF4
