rank	gene	patients
1	AFF1	839
2	MLLT3	449
3	MLLT1	302
4	MLLT10	197
6	ELL	97
7	MLLT4	95
8	EPS15	38
9	MLLT11	23
11	SEPT6	17
12	MLLT6	14
13	SEPT9	13
14	AFF3	8
15	TET1	6
17	SEPT5	5
18	ABI1	4
19	CASC5	4
20	MAML2	4
21	MYO1F	4
22	PICALM	4
23	TNRC18	4
24	FLNA	3
25	NEBL	3
26	ACTN4	2
27	AFF4	2
28	BTBD18	2
29	CBL	2
30	CEP170B	2
31	CREBBP	2
32	DCP1A	2
33	FOXO3	2
34	KIAS1524	2
35	SEPT11	2
36	ABI2	2
37	ACACA	1
38	ACER1	1
39	AKAP13	1
40	AP2S2	1
41	ARHGAP26	1
42	ARHGEF12	1
43	ARHGEF17	1
44	BCL9L	1
45	BUD13	1
46	C2CD3	1
47	CASP8AP2	1
48	CEP164	1
49	CLTA	1
50	CLTC	1
51	CT45A2	1
52	DCPS	1
53	EEFSEC	1
54	FNBP1	1
55	GAS7	1
56	GIGYF2	1
57	GMPS	1
58	KIF2A	1
59	LAMC3	1
60	LOC100131626	1
61	ME2	1
62	MKL1	1
63	MYH11	1
64	NOX4	1
65	NRIP3	1
66	NUP153	1
67	PDS5A	1
68	PFDN4	1
69	PRPF19	1
70	PRRC1	1
71	RABGAP1	1
72	RUNDC3B	1
73	SEPT2	1
74	SMAP1	1
75	TCF12	1
76	TOP3A	1
77	VAV1	1
