Top 142 in network fig7a.cr.sigcombine.genes.tsv ranked by MCC method
Rank,Name,Score
1,DHX16,1162.0
2,MALAT1,714.0
3,RDH5,565.0
4,NDUFA6-AS1,558.0
5,WDTC1,474.0
6,VAV1,465.0
7,KDM2A,446.0
8,SEC14L1,391.0
9,PITPNA,360.0
10,TNRC6B,354.0
11,SEPT9,241.0
12,TNXB,192.0
13,TECR,184.0
14,MRPL4,160.0
15,ELL,157.0
16,TNRC6C,156.0
17,CCDC33,147.0
18,ACER1,146.0
19,ZNF57,145.0
20,MLLT1,138.0
20,TIMM44,138.0
22,GLYR1,135.0
23,MLLT11,130.0
24,SCGB1D1,125.0
25,USP20,123.0
26,MLLT6,102.0
27,NT5C2,100.0
28,CTSK,89.0
29,TLN1,83.0
30,TUBGCP2,78.0
31,PBRM1,76.0
32,MED1,66.0
32,MYO18A,66.0
32,UBE4A,66.0
35,CRLF1,59.0
36,DCAF12,58.0
37,DENND4A,54.0
38,TRIP4,52.0
39,CACNA1B,49.0
40,MYO1F,47.0
41,HSD17B3,42.0
42,KMT2A,39.0
43,ARCN1,37.0
44,MPZL3,30.0
45,RNF115,29.0
45,SUN1,29.0
45,MCL1,29.0
48,AMICA1,28.0
49,FCHSD2,27.0
50,SCN4B,24.0
51,MACF1,23.0
52,FXYD2,22.0
52,PHLDB1,22.0
54,FXYD6,21.0
54,MPZL2,21.0
56,RNF25,19.0
57,C18orf25,15.0
57,GNA12,15.0
57,CEP164,15.0
60,SRSF4,14.0
60,MDM1,14.0
62,AFF3,13.0
63,RSPH3,12.0
64,CRTAC1,11.0
64,MYO5B,11.0
64,TPTE2P5,11.0
67,ATG16L2,10.0
68,SIK3,9.0
68,EPS15,9.0
68,UVRAG,9.0
71,CELF1,8.0
71,BTN3A1,8.0
71,PRPF18,8.0
74,TCF12,7.0
75,ETV6,6.0
75,DLAT,6.0
75,UTRN,6.0
75,CMAHP,6.0
75,FGF7,6.0
75,DNAJA1,6.0
75,BUD13,6.0
75,SNAPC3,6.0
75,TNRC18,6.0
84,DNAH6,5.0
84,UBASH3B,5.0
84,NDUFS3,5.0
84,SORL1,5.0
84,WNK2,5.0
84,HK1,5.0
84,HELQ,5.0
84,DCP1A,5.0
84,DSCAML1,5.0
93,GRIP1,4.0
93,ITPKB,4.0
93,APBB1IP,4.0
93,SVIL,4.0
93,FOCAD,4.0
98,SCAF8,3.0
98,NCAM1,3.0
98,ZEB1,3.0
98,RABGAP1L,3.0
98,KIF5B,3.0
98,ADARB2,3.0
98,LMO2,3.0
98,MLLT3,3.0
98,SCN3B,3.0
107,MLLT10,2.0
107,SEPT6,2.0
107,GRIA4,2.0
107,RASSF4,2.0
107,MEF2C,2.0
107,PIP4K2A,2.0
107,ADSS,2.0
107,HIPK3,2.0
107,LPXN,2.0
107,MLLT4,2.0
107,PPP1R21,2.0
107,ARHGAP12,2.0
107,DNAJC1,2.0
107,BMP2K,2.0
107,NAV2,2.0
107,NFKB1,2.0
107,C11orf65,2.0
107,FOXP1,2.0
107,SLC43A3,2.0
107,ABI1,2.0
127,NKAIN2,1.0
127,KIAA1731,1.0
127,PIWIL4,1.0
127,CUL5,1.0
127,MMP13,1.0
127,PICALM,1.0
127,ANAPC10,1.0
127,ANTXR2,1.0
127,NRG3,1.0
127,UGT8,1.0
127,ELF2,1.0
127,EPYC,1.0
127,PDE6C,1.0
127,C11orf88,1.0
127,AFF1,1.0
127,CACNB2,1.0
