left	right
ACER1	BTN3A1
ACER1	DHX16
ACER1	GLYR1
ACER1	KDM2A
ACER1	MALAT1
ACER1	PITPNA
ACER1	RNF115
ACER1	SCGB1D1
ACER1	SEC14L1
ACER1	SUN1
ACER1	TNRC6B
ACER1	TNXB
ACER1	TUBGCP2
ACER1	WDTC1
ACER1	SEPT9
ADARB2	HSD17B3
ADARB2	PITPNA
ADARB2	RDH5
ADSS	UTRN
ADSS	AFF3
AMICA1	C18orf25
AMICA1	CRLF1
AMICA1	DCAF12
AMICA1	DENND4A
AMICA1	GLYR1
AMICA1	HSD17B3
AMICA1	NDUFA6-AS1
AMICA1	NT5C2
AMICA1	RNF25
AMICA1	TECR
AMICA1	TLN1
AMICA1	TNRC6B
AMICA1	USP20
AMICA1	AFF3
ANAPC10	CMAHP
ANTXR2	FGF7
APBB1IP	DNAJA1
APBB1IP	GNA12
APBB1IP	UTRN
APBB1IP	ZNF57
ARCN1	CCDC33
ARCN1	CRLF1
ARCN1	DCAF12
ARCN1	DENND4A
ARCN1	GLYR1
ARCN1	HK1
ARCN1	HSD17B3
ARCN1	NDUFA6-AS1
ARCN1	NT5C2
ARCN1	RNF25
ARCN1	TECR
ARCN1	TNRC6B
ARCN1	TRIP4
ARCN1	USP20
ARCN1	AFF3
ARCN1	ELL
ARHGAP12	MYO5B
ARHGAP12	SRSF4
ATG16L2	MACF1
ATG16L2	MYO18A
ATG16L2	NDUFA6-AS1
ATG16L2	TIMM44
ATG16L2	TNXB
ATG16L2	ELL
ATG16L2	EPS15
BMP2K	FGF7
BMP2K	TNXB
BTN3A1	CTSK
BTN3A1	MCL1
BTN3A1	NFKB1
BTN3A1	RNF25
BTN3A1	SCGB1D1
BTN3A1	TECR
BUD13	CCDC33
BUD13	MDM1
BUD13	NDUFA6-AS1
BUD13	RNF25
BUD13	SNAPC3
BUD13	TCF12
C11orf65	TCF12
C11orf65	TPTE2P5
C11orf88	MYO5B
C18orf25	DCAF12
C18orf25	FOCAD
C18orf25	RNF25
C18orf25	SCN4B
C18orf25	SLC43A3
C18orf25	UBE4A
C18orf25	MLLT3
CACNA1B	CEP164
CACNA1B	CRLF1
CACNA1B	CTSK
CACNA1B	DCP1A
CACNA1B	FCHSD2
CACNA1B	GLYR1
CACNA1B	MCL1
CACNA1B	MYO18A
CACNA1B	NDUFA6-AS1
CACNA1B	PBRM1
