ID	Description	GeneRatio	BgRation	pvalue	p.adjust	qvalue	geneID	Count
RUNX1	RUNX1	16/299	20/17381	6.79E-11	8.67E-08	8.67E-08	KDM2A/SLC43A3/LMO2/CMAHP/NFKB1/VAV1/ETV6/MLLT6/APBB1IP/SEPT6/FCHSD2/MYO18A/BMP2K/TNRC18/TLN1/MCL1	16
STAT6	STAT6	11/299	20/17381	3.07E-06	7.84E-04	7.84E-04	APBB1IP/SEPT9/KDM2A/ATG16L2/BTN3A1/TLN1/VAV1/MYO1F/WDTC1/MCL1/MLLT6	11
GFI1	GFI1	11/299	20/17381	3.07E-06	7.84E-04	7.84E-04	APBB1IP/SEPT6/KDM2A/USP20/SLC43A3/LMO2/TLN1/VAV1/MYO1F/MCL1/MLLT6	11
AFF1	AFF1	11/299	20/17381	3.07E-06	7.84E-04	7.84E-04	MACF1/SCAF8/KDM2A/KMT2A/CACNA1B/MYO18A/BMP2K/TLN1/UTRN/MCL1/MLLT6	11
ADAR	ADAR	11/299	20/17381	3.07E-06	7.84E-04	7.84E-04	APBB1IP/SEPT9/KDM2A/BTN3A1/TLN1/SORL1/MYO1F/GLYR1/WDTC1/MCL1/MLLT6	11
HIVEP2	HIVEP2	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/MACF1/SEPT9/MEF2C/KDM2A/SIK3/UTRN/SORL1/NFKB1/MLLT6	10
RUNX3	RUNX3	10/299	20/17381	2.01E-05	0.001024144	0.001024144	APBB1IP/SEPT9/SEPT6/KDM2A/BTN3A1/LPXN/NFKB1/VAV1/MYO1F/MLLT6	10
FOXJ2	FOXJ2	10/299	20/17381	2.01E-05	0.001024144	0.001024144	KDM2A/SEC14L1/SIK3/MYO18A/BMP2K/TLN1/MYO1F/WDTC1/MCL1/MLLT6	10
TCF7	TCF7	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/APBB1IP/SEPT9/SEPT6/KDM2A/BTN3A1/USP20/VAV1/MYO1F/MLLT6	10
EZH1	EZH1	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/APBB1IP/ATG16L2/BTN3A1/USP20/SIK3/SORL1/MYO1F/WDTC1/MLLT6	10
KLF12	KLF12	10/299	20/17381	2.01E-05	0.001024144	0.001024144	MLLT11/ITPKB/MACF1/KMT2A/BTN3A1/TCF12/NCAM1/UTRN/SORL1/MLLT6	10
TRERF1	TRERF1	10/299	20/17381	2.01E-05	0.001024144	0.001024144	APBB1IP/SEPT9/KDM2A/ATG16L2/BTN3A1/TLN1/SORL1/MYO1F/MCL1/MLLT6	10
ETS1	ETS1	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/APBB1IP/SEPT9/KDM2A/BTN3A1/TLN1/SORL1/VAV1/MCL1/MLLT6	10
FLI1	FLI1	10/299	20/17381	2.01E-05	0.001024144	0.001024144	APBB1IP/SEPT6/ATG16L2/BTN3A1/LMO2/TLN1/SORL1/VAV1/MYO1F/MCL1	10
STAT3	STAT3	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/APBB1IP/SEPT9/KDM2A/BTN3A1/TLN1/NFKB1/WDTC1/MCL1/MLLT6	10
KLF13	KLF13	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/APBB1IP/SEPT9/KDM2A/BTN3A1/TLN1/MYO1F/WDTC1/MCL1/MLLT6	10
JUNB	JUNB	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/APBB1IP/SEPT9/KDM2A/ATG16L2/ELL/BTN3A1/MYO1F/MCL1/MLLT6	10
STAT5B	STAT5B	10/299	20/17381	2.01E-05	0.001024144	0.001024144	APBB1IP/ATG16L2/BTN3A1/TLN1/SORL1/VAV1/MYO1F/WDTC1/MCL1/MLLT6	10
ZHX2	ZHX2	10/299	20/17381	2.01E-05	0.001024144	0.001024144	ITPKB/APBB1IP/SEPT9/KDM2A/FCHSD2/SIK3/MYO18A/NFKB1/WDTC1/MLLT6	10
KLF3	KLF3	10/299	20/17381	2.01E-05	0.001024144	0.001024144	APBB1IP/KDM2A/BTN3A1/BMP2K/TLN1/UTRN/SORL1/MYO1F/MCL1/MLLT6	10
MKRN1	MKRN1	10/299	20/17381	2.01E-05	0.001024144	0.001024144	APBB1IP/RABGAP1L/BTN3A1/PIP4K2A/TLN1/UTRN/DCAF12/SORL1/MYO1F/MCL1	10
