ID	Description	GeneRatio	BgRation	pvalue	p.adjust	qvalue	geneID	Count
CBP	CBP 21632823 ChIP-Seq H3396 Human	42/2000	20/17381	7.33E-13	4.50E-10	4.50E-10	PHLDB1/TUBGCP2/CELF1/SLC43A3/CEP164/ADARB2/NT5C2/ARHGAP12/HK1/GRIP1/SCGB1D1/RASSF4/CRTAC1/KIF5B/PIP4K2A/NCAM1/DLAT/SCN3B/MPZL3/GRIA4/UVRAG/SVIL/KDM2A/LMO2/UBE4A/NAV2/SORL1/HIPK3/APBB1IP/MLLT10/DNAJC1/FCHSD2/PRPF18/ZEB1/ATG16L2/ABI1/SIK3/MALAT1/BUD13/SCN4B/DSCAML1/MDM1	42
FOXA2	FOXA2 19822575 ChIP-Seq HepG2 Human	41/2968	20/17381	4.39E-07	1.35E-04	1.35E-04	MACF1/ELL/TUBGCP2/MLLT1/ADARB2/AFF3/MLLT3/MLLT4/ARHGAP12/HK1/UBASH3B/RASSF4/CRTAC1/KIF5B/GNA12/MYO18A/PIP4K2A/LPXN/DHX16/TNRC18/AMICA1/MPZL3/EPS15/MCL1/MED1/UVRAG/SVIL/RABGAP1L/DENND4A/TCF12/NAV2/SORL1/FOXP1/ETV6/MLLT10/FCHSD2/PRPF18/MYO5B/UTRN/DSCAML1/TNRC6B	41
TBL1	TBL1 22424771 ChIP-Seq 293T Human	29/2000	20/17381	1.46E-05	0.002234858	0.002234858	MACF1/CEP164/ADARB2/NT5C2/ARHGAP12/RNF115/UBASH3B/CRTAC1/KIF5B/PIP4K2A/NCAM1/EPS15/WDTC1/UVRAG/SVIL/RABGAP1L/LMO2/NAV2/SORL1/ITPKB/APBB1IP/MLLT10/DNAJC1/FCHSD2/PRPF18/ZEB1/ATG16L2/ABI1/SIK3	29
NFYA	NFYA 21822215 ChIP-Seq K562 Human	28/2000	20/17381	4.01E-05	0.004918248	0.004918248	MACF1/ADARB2/NT5C2/ARHGAP12/GRIP1/RNF115/UBASH3B/KIF5B/PIP4K2A/NCAM1/EPS15/WDTC1/GRIA4/SVIL/RABGAP1L/LMO2/SORL1/HIPK3/ETV6/ITPKB/APBB1IP/MLLT10/DNAJC1/FCHSD2/PRPF18/ZEB1/ABI1/DSCAML1	28
HNF4A	HNF4A 19822575 ChIP-Seq HepG2 Human	59/6083	20/17381	7.58E-05	0.006072313	0.006072313	ELL/ADARB2/AFF3/MRPL4/RNF115/UBASH3B/RASSF4/KIF5B/MYO18A/PIP4K2A/DHX16/AMICA1/MED1/PBRM1/UBE4A/NAV2/ZNF57/FOXP1/ETV6/FCHSD2/PRPF18/ZEB1/BMP2K/TLN1/UTRN/DSCAML1/MACF1/TNXB/SLC43A3/MLLT1/NT5C2/MLLT3/MLLT4/ARHGAP12/MLLT6/SEC14L1/C18ORF25/GNA12/LPXN/TNRC18/NCAM1/CCDC33/EPS15/MCL1/UVRAG/SVIL/RABGAP1L/C11ORF65/DENND4A/SORL1/NFKB1/DNAJA1/MLLT10/MYO5B/WNK2/ABI1/CRLF1/MDM1/TNRC6B	59
HNFA	HNFA 21074721 ChIP-Seq CACO-2 Human	27/2000	20/17381	1.05E-04	0.006072313	0.006072313	MACF1/ADARB2/NT5C2/ARHGAP12/RNF115/UBASH3B/KIF5B/CTSK/PIP4K2A/EPS15/ADSS/WDTC1/UVRAG/SVIL/RABGAP1L/KDM2A/LMO2/NAV2/ITPKB/APBB1IP/MLLT10/DNAJC1/FCHSD2/PRPF18/ZEB1/ABI1/BUD13	27
NFYB	NFYB 21822215 ChIP-Seq K562 Human	27/2000	20/17381	1.05E-04	0.006072313	0.006072313	MACF1/ADARB2/ARHGAP12/HK1/RNF115/CRTAC1/KIF5B/PIP4K2A/NCAM1/EPS15/ADSS/WDTC1/GRIA4/SVIL/RABGAP1L/LMO2/ETV6/ITPKB/APBB1IP/MLLT10/DNAJC1/FCHSD2/PRPF18/ZEB1/ATG16L2/ABI1/DSCAML1	27
ELF3	ELF3 26769127 Chip-Seq PDAC-Cell line Human	27/2000	20/17381	1.05E-04	0.006072313	0.006072313	PHLDB1/ELL/SLC43A3/CEP164/MLLT3/ARHGAP12/MYO18A/PIP4K2A/LPXN/AMICA1/ADSS/WDTC1/MCL1/SVIL/C11ORF65/KDM2A/LMO2/TCF12/SORL1/NFKB1/ETV6/DNAJC1/FCHSD2/ATG16L2/FXYD2/ABI1/SIK3	27
KDM2B	KDM2B 26808549 Chip-Seq DND41 Human	27/2000	20/17381	1.05E-04	0.006072313	0.006072313	PHLDB1/SLC43A3/NT5C2/ARHGAP12/HK1/MLLT6/RNF115/RASSF4/GNA12/PIP4K2A/TNRC18/ADSS/WDTC1/MCL1/UVRAG/DENND4A/ZNF57/FOXP1/ETV6/ITPKB/MLLT10/FCHSD2/ZEB1/FXYD2/ABI1/MALAT1/UTRN	27
RUNX1	RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human	51/5071	20/17381	1.36E-04	0.006596791	0.006596791	ELL/TECR/ADARB2/GRIP1/CRTAC1/SNAPC3/MYO18A/PIP4K2A/DLAT/PBRM1/LMO2/TCF12/NAV2/VAV1/ETV6/FCHSD2/SIK3/NDUFS3/BMP2K/MALAT1/TLN1/UTRN/DSCAML1/TUBGCP2/SLC43A3/MLLT1/NT5C2/MLLT3/MLLT6/SEC14L1/GNA12/CCDC33/MPZL3/EPS15/SVIL/RABGAP1L/HELQ/USP20/TIMM44/SORL1/NFKB1/MLLT11/TNRC6C/MLLT10/ATG16L2/FXYD2/ABI1/BUD13/DCP1A/MYO1F/TNRC6B	51
RUNX	RUNX 20019798 ChIP-Seq JUKART Human	13/616	20/17381	1.40E-04	0.006596791	0.006596791	MACF1/USP20/LMO2/TCF12/TRIP4/AFF3/NFKB1/VAV1/FOXP1/APBB1IP/SNAPC3/PIP4K2A/MDM1	13
P300	P300 27058665 Chip-Seq ZR-75-30cells Human	26/2000	20/17381	2.66E-04	0.011650383	0.011650383	MACF1/PHLDB1/PITPNA/NT5C2/ARHGAP12/MLLT6/KIF5B/MYO18A/PIP4K2A/LPXN/NCAM1/CCDC33/SCN3B/WDTC1/MCL1/MED1/SVIL/SUN1/TCF12/ETV6/MLLT11/RSPH3/MLLT10/SIK3/BUD13/MYO1F	26
SMRT	SMRT 27268052 Chip-Seq Bcells Human	25/2000	20/17381	6.39E-04	0.021809097	0.021809097	PITPNA/MLLT1/ADARB2/MLLT3/FGF7/GNA12/DCAF12/UVRAG/MEF2C/PBRM1/HELQ/BTN3A1/TCF12/UBE4A/NAV2/NFKB1/VAV1/HIPK3/FOXP1/ETV6/APBB1IP/RSPH3/ATG16L2/ABI1/TNRC6B	25
WT1	WT1 25993318 ChIP-Seq PODOCYTE Human	36/3464	20/17381	0.001163956	0.034815408	0.034815408	MACF1/PHLDB1/TECR/CACNA1B/HSD17B3/ADARB2/AFF3/MLLT3/MLLT4/MLLT6/SEC14L1/GNA12/MYO18A/TNRC18/NCAM1/CCDC33/WDTC1/UVRAG/SVIL/SUN1/TCF12/NAV2/NFKB1/FOXP1/ETV6/MLLT10/ZEB1/MYO5B/WNK2/ABI1/SIK3/MALAT1/FXYD6/UTRN/SCN4B/DSCAML1	36
STAT6	STAT6 20620947 ChIP-Seq CD4 POS T Human	10/508	20/17381	0.001422656	0.034815408	0.034815408	ITPKB/MACF1/SEC14L1/MALAT1/AMICA1/MPZL3/SORL1/FOXP1/HK1/TNRC6B	10
FOXA1	FOXA1 26769127 Chip-Seq PDAC-Cell line Human	24/2000	20/17381	0.001469052	0.034815408	0.034815408	UVRAG/RABGAP1L/CELF1/NAV2/ADARB2/NT5C2/HK1/MLLT6/ARCN1/FCHSD2/UBASH3B/ATG16L2/FXYD2/ABI1/MYO18A/RDH5/MALAT1/FXYD6/AMICA1/MPZL3/ADSS/MCL1/MPZL2/TNRC6B	24
E2A	E2A 27217539 Chip-Seq RAMOS-Cell line Human	24/2000	20/17381	0.001469052	0.034815408	0.034815408	HELQ/USP20/PITPNA/LMO2/AFF3/SORL1/MRPL4/ITPKB/APBB1IP/RSPH3/GRIP1/DNAJC1/SEC14L1/FCHSD2/PRPF18/ZEB1/C18ORF25/GNA12/ABI1/MALAT1/BUD13/DCAF12/MYO1F/MCL1	24
ESR2	ESR2 21235772 ChIP-Seq MCF-7 Human	9/424	20/17381	0.001474268	0.034815408	0.034815408	MACF1/SVIL/PHLDB1/ATG16L2/TCF12/PIP4K2A/NAV2/NT5C2/HK1	9
EGR1	EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human	55/6207	20/17381	0.001864444	0.042398846	0.042398846	PHLDB1/ELL/CEP164/ADARB2/AFF3/HK1/MRPL4/CRTAC1/MYO18A/DHX16/AMICA1/MEF2C/LMO2/TCF12/NAV2/FOXP1/ETV6/ITPKB/FCHSD2/PRPF18/BMP2K/SCN4B/DSCAML1/MACF1/TNXB/TUBGCP2/CACNA1B/MLLT1/NT5C2/MLLT4/ARHGAP12/MLLT6/SEC14L1/CCDC33/SCN3B/EPS15/WDTC1/GRIA4/UVRAG/SVIL/RABGAP1L/USP20/DENND4A/TIMM44/SORL1/NFKB1/ARCN1/DNAJA1/MLLT10/WNK2/ABI1/FXYD6/CRLF1/MYO1F/TNRC6B	55
