ID	Description	GeneRatio	BgRation	pvalue	p.adjust	qvalue	geneID	Count
IKZF1	IKZF1 MUT HUMAN GSE2501 CREEDSID GENE 2259 UP	10/269	20/17381	8.03E-06	0.006019037	0.006019037	MED1/MACF1/SVIL/KMT2A/PPP1R21/TCF12/NAV2/DSCAML1/DCAF12/HK1	10
E2F8	E2F8 KO MOUSE GSE52157 CREEDSID GENE 2828 DOWN	12/406	20/17381	1.01E-05	0.006019037	0.006019037	MEF2C/SEPT6/FCHSD2/LPXN/CMAHP/AFF3/MLLT3/SORL1/NFKB1/VAV1/FOXP1/ETV6	12
MYC	MYC OE MOUSE GSE38304 CREEDSID GENE 1846 DOWN	9/226	20/17381	1.34E-05	0.006019037	0.006019037	MACF1/KMT2A/LMO2/BMP2K/MALAT1/DCAF12/HIPK3/FOXP1/MCL1	9
XBP1	XBP1 KO MOUSE GSE40273 CREEDSID GENE 1060 DOWN	10/293	20/17381	1.69E-05	0.006019037	0.006019037	MACF1/RABGAP1L/CELF1/TECR/TCF12/MALAT1/CMAHP/FOXP1/MCL1/TNRC6B	10
GATA1	GATA1 KO MOUSE GSE40273 CREEDSID GENE 1062 UP	9/237	20/17381	1.96E-05	0.006019037	0.006019037	MACF1/PBRM1/FCHSD2/KMT2A/LPXN/MALAT1/SRSF4/UTRN/EPS15	9
ERG	ERG OE CD34 HUMAN GSE53665 RNASEQ UP	10/338	20/17381	5.66E-05	0.012437633	0.012437633	MACF1/SEPT9/MEF2C/KMT2A/BMP2K/TLN1/HIPK3/MYO1F/MCL1/ETV6	10
RUNX1	RUNX1 KO MOUSE GSE40155 CREEDSID GENE 1492 UP	9/286	20/17381	8.43E-05	0.016202068	0.016202068	SEPT9/KMT2A/LMO2/PIP4K2A/SRSF4/TLN1/MLLT3/NFKB1/HK1	9
NFIA	NFIA DEFICIENCY MOUSE GSE4623 CREEDSID GENE 667 UP	8/230	20/17381	1.06E-04	0.016656959	0.016656959	MLLT11/DNAJA1/MACF1/SEPT9/MEF2C/NCAM1/DSCAML1/HK1	8
TAL1	TAL1 KD JURKAT HUMAN GSE72299 RNASEQ UP	11/440	20/17381	1.08E-04	0.016656959	0.016656959	DNAJA1/FCHSD2/ATG16L2/USP20/CELF1/TCF12/SRSF4/MLLT1/GLYR1/MLLT6/ARCN1	11
ARID2	ARID2 SIRNA HEPG2 HUMAN GSE69567 RNASEQ UP	9/302	20/17381	1.27E-04	0.017801717	0.017801717	MACF1/SEPT9/PHLDB1/GNA12/MYO18A/TLN1/UTRN/MCL1/MLLT6	9
