GENE	DISTANCE	EXPRESSION	DSB
C1ORF86	5	1332.40026412	0.0521348442407
SKI	26	24.7397784164	0.00768898773324
MORN1	6	269.287994112	0.0334850070455
RER1	4	1295.09399759	0.0765809466258
PEX10	27	19.1825775383	0.00967732431082
PLCH2	89	1.47908932956	0.002806965614
LINC00982	60	2.86524963428	0.00211074602609
PRDM16	59	6.5853607155	0.00438115279028
ACOT7	90	-0.156305489329	0.00192736875077
HES2	56	5.6051253178	0.00465390115624
ESPN	53	19.5064487396	0.0059133783836
TNFRSF25	10	166.320934131	0.021498664468
PLEKHG5	20	40.6053998337	0.00982490834851
NOL9	1	9978.18101995	0.199840295573
TAS1R1	3	1479.89866318	0.0644186334624
ZBTB48	21	159.709606701	0.0191348869933
KLHL21	46	116.036444051	0.0163851497336
PHF13	55	18.9160881955	0.00556849855511
THAP3	66	6.12126476332	0.00320100906034
DNAJC11	22	25.6013631102	0.00705452791875
CAMTA1	59	6.60607373229	0.00428556949535
UTS2	50	5.14797377245	0.00287664820219
TNFRSF9	39	5.47395176139	0.00262584208641
PARK7	55	120.826625151	0.0188293854569
RERE	33	6.18066059369	0.00546439175265
ENO1	27	687617.902747	4.33759047998
ENO1-AS1	25	22.691908062	0.00937078479381
SLC2A7	85	1.68644636151	0.00197777476996
SLC2A5	39	25.2309767434	0.00963774742197
GPR157	17	28.2666483564	0.0115343416589
H6PD	36	16.0292513313	0.0109177127948
SPSB1	4	629.488150524	0.0497893583974
SLC25A33	33	26.8119030093	0.00666087348192
TMEM201	15	30.4087155885	0.0162594320481
PIK3CD-AS1	30	16.7193321465	0.00762107229169
PIK3CD-AS2	63	8.362306491	0.00448291691581
PIK3CD	63	31.4631222718	0.0103594266899
CLSTN1	38	21.2307949632	0.00858199569052
LZIC	90	10.3251298543	0.0064626573247
NMNAT1	93	0.730453856474	0.000770590881097
RBP7	38	11.9937166411	0.00544692549333
UBE4B	2	160.371050865	0.102816804882
PGD	34	5854.4133697	0.111555269366
APITD1	2	1821.74745783	0.10069368152
CORT	16	29.727830978	0.0126837264427
DFFA	18	159.688144637	0.0503354853242
PEX14	18	69.2741460375	0.0116273803541
CASZ1	77	3.35574870294	0.00300755761154
C1ORF127	40	10.2092894734	0.00621976789795
TARDBP	23	3166.44473561	0.279240552886
MASP2	13	184.063916099	0.0226248074168
SRMS	26	17.6398264524	0.00853498839935
EXOSC10	65	20.458567424	0.00772478078962
FBXO2	1	18115.9757619	0.199916220948
FBXO44	3	529.089158987	0.0694346094717
FBXO6	5	633.436153985	0.0384805829219
MAD2L2	24	94.4649583277	0.0143832666796
DRAXIN	33	11.095294238	0.00613976280933
AGTRAP	77	7.36298945753	0.00393535445849
C1ORF167	81	6.2894081228	0.00362851353288
MTHFR	35	56.1861086573	0.014091158451
CLCN6	37	14.5636652564	0.00470018237423
NPPA-AS1	3	1724.69823658	0.0670372607004
NPPA	6	185.677469702	0.0321341413903
NPPB	17	39.3576431121	0.0123419904899
KIAA2013	34	290.630101109	0.0253448917618
PLOD1	41	4.89615974122	0.00437051685548
MFN2	86	11.848410449	0.00506932832677
TNFRSF1B	46	10.9556663803	0.00533087386767
VPS13D	16	51.4211500317	0.0139399500537
DHRS3	34	5.25350187834	0.00514652967024
TMEM51-AS1	24	32.8682870201	0.00894716997666
TMEM51	24	21.3910069661	0.00780302769662
C1ORF195	44	10.9281360992	0.00456370658568
EFHD2	17	256.647513722	0.0235467274727
CTRC	8	178.634968248	0.0246901816517
CELA2A	27	14.2732773429	0.00519816936217
CELA2B	46	4.18145124519	0.00548664572452
CASP9	96	5.35595593478	0.0029275137855
DNAJC16	97	4.61138822634	0.00414412526566
SLC25A34	53	7.13471891284	0.0039585578845
FBLIM1	32	13.3755909984	0.00582279835192
SPEN	58	31.5389781429	0.00804756591586
ZBTB17	21	59.4536016634	0.0106259005821
HSPB7	8	328.378137597	0.0248086010753
CLCNKA	9	99.6426469392	0.023367521454
CLCNKB	36	13.244886847	0.00459058886451
FAM131C	63	2.18576409627	0.0024766294919
EPHA2	28	8.64573868839	0.00724969317829
ARHGEF19	22	8.18960159839	0.00823691508748
RSG1	7	64.12909602	0.0294588661458
FBXO42	7	355.835931506	0.0306836910449
SZRD1	5	103.664053303	0.0484612734017
SPATA21	77	2.22476040338	0.0023395558901
NECAP2	78	62.3106465788	0.0112224869589
MFAP2	54	3.85395578742	0.00405601654547
ATP13A2	23	14.6279957741	0.0109921460487
SDHB	6	93.3455516657	0.0319750149896
PADI2	5	653.532679346	0.0388394851664
PADI1	26	16.6387797103	0.0080783742258
PADI3	17	70.6582763596	0.0140636887077
PADI4	76	1.61611440456	0.00367788448776
ALDH4A1	7	352.289154094	0.0271595558049
MIR1290	12	116.413403688	0.015559342532
IFFO2	46	10.2126850489	0.00508680976638
AKR7A2	77	36.4425709637	0.0107305649701
