GENE	DISTANCE	EXPRESSION	DSB
C1ORF86	5	803.433343288	0.0402590247463
SKI	26	30.4068800735	0.00862800578321
MORN1	6	272.123990853	0.0336720999226
RER1	4	1455.77657312	0.0813260340742
PEX10	27	19.9336249115	0.00991478285736
PLCH2	89	1.47772687605	0.00280627854412
PRDM16	59	2.37523281995	0.00191717327719
ACOT7	90	3.71964420953	0.00326030153953
HES2	56	1.62412372263	0.00331554040673
ESPN	53	6.2528818403	0.00497203186549
TNFRSF25	10	249.828982972	0.022139884125
PLEKHG5	20	41.4852693852	0.0100280007051
NOL9	1	15446.2186939	0.209718884084
TAS1R1	3	1127.88086394	0.0658981200862
ZBTB48	21	128.832541517	0.018046154195
KLHL21	46	119.089159999	0.0163670073982
PHF13	55	70.4956277669	0.0126145050515
THAP3	66	28.7938399523	0.00695961583039
DNAJC11	22	46.4144069203	0.01031863216
CAMTA1	59	1.22422377685	0.00116957700042
TNFRSF9	39	12.6590141921	0.00603376984269
PARK7	55	21.5823425562	0.00598693836074
RERE	33	15.7642296951	0.004897911482
ENO1	27	9565.02621537	0.180239227064
ENO1-AS1	25	750.488506414	0.145134726086
CA6	92	1.58444863073	0.00370773532826
SLC2A7	85	2.47222494124	0.00321512906659
SLC2A5	39	11.5735959759	0.00475310432696
GPR157	17	45.4664178009	0.0132695880219
H6PD	36	11.5658147469	0.00650032069295
SPSB1	4	232.9222502	0.0524715538748
SLC25A33	33	18.4692614962	0.00751628489332
TMEM201	15	123.08354942	0.0152258122029
PIK3CD	63	3.73452473911	0.00470019796794
CLSTN1	38	12.877079887	0.00651622415703
LZIC	90	7.87001189359	0.0043441623164
NMNAT1	93	6.25014833984	0.00396566245855
RBP7	38	11.7215465184	0.00611520786866
UBE4B	2	1808.10567558	0.102795322749
PGD	34	194.933402626	0.0205239360819
APITD1	2	2915.25116746	0.100183865057
CORT	16	13.4246156342	0.0148099004273
DFFA	18	115.692353305	0.0148841675485
PEX14	18	38.6178105418	0.0129246921053
CASZ1	77	1.82982323904	0.00274640239581
C1ORF127	40	6.15593756514	0.00574076810364
TARDBP	23	494.704326002	0.0327820270515
MASP2	13	85.1941004511	0.015793900464
SRMS	26	19.9207451898	0.00891455153721
EXOSC10	65	4.64269410705	0.00469472193606
FBXO2	1	12990.4587275	0.200876508619
FBXO44	3	731.108610324	0.0677960700368
FBXO6	5	390.995403447	0.0395274501034
MAD2L2	24	40.397092181	0.00869112833057
DRAXIN	33	11.2949554127	0.0074247834346
AGTRAP	77	6.96748609975	0.00330919335251
MTHFR	35	29114.0399169	0.269142631024
CLCN6	37	25.9524044854	0.00967947333962
NPPA-AS1	3	2038.91615556	0.0702809786248
KIAA2013	34	34.808106761	0.00857167716644
PLOD1	41	13.6925280274	0.00631050512662
MFN2	86	29.9239723326	0.00702689679484
TNFRSF1B	46	50.3094581166	0.0104872212629
VPS13D	16	94.0764615919	0.0220783767458
DHRS3	34	24.2901907116	0.00943776264082
AADACL4	8	280.53976409	0.0248829684846
C1ORF158	82	0.145778380813	0.00167776396263
TMEM51-AS1	24	28.673271229	0.00831555435316
TMEM51	24	29.6504505454	0.00921471837204
EFHD2	17	48.0396773419	0.013434406481
CELA2A	27	6.86195035656	0.00666917168466
CELA2B	46	10.4965883136	0.00496924759205
CASP9	96	3.50527019349	0.00235461681984
DNAJC16	97	10.1131076696	0.00435034477662
SLC25A34	53	14.7946946558	0.00512665946481
FBLIM1	32	13.7652648608	0.00594023126439
SPEN	58	29.1169355244	0.00783092640048
ZBTB17	21	11.9705608144	0.0114658555796
HSPB7	8	255.93185723	0.0254795596964
CLCNKA	9	108.929122835	0.0238067629258
CLCNKB	36	15.2540480386	0.00571594059313
FAM131C	63	4.28287827629	0.00274803414289
EPHA2	28	21.3174608998	0.00641501248047
ARHGEF19	22	50.694029659	0.00977394421545
RSG1	7	761.099367481	0.0382269812115
FBXO42	7	199.342514167	0.0341207413319
SZRD1	5	975.566977435	0.0432826679861
SPATA21	77	0.966802643728	0.00190060935485
NECAP2	78	10.2779961468	0.0082761994316
ATP13A2	23	7.63868498779	0.00775344504383
SDHB	6	88.9157499565	0.0360378926737
PADI2	5	651.682808509	0.0419383639484
PADI1	26	6.21723595632	0.00609414733243
PADI3	17	48.6116246925	0.0115068782085
PADI4	76	10.3017145223	0.00432010958356
IGSF21	8	75.0511209994	0.0250924674947
TAS1R2	39	4.75353692626	0.00463437385136
ALDH4A1	7	70.1803579629	0.0269208681254
IFFO2	46	6.75945693838	0.00319053061059
AKR7A2	77	8.00042455968	0.00513914398903
PQLC2	79	34.3258746553	0.00954777152176
CAPZB	94	3.57345066755	0.00496914675404
MINOS1	14	85.7887920537	0.0129196160345
NBL1	63	1.19762675626	0.00148264492857
OTUD3	34	19.47197546	0.00761294916074
PLA2G2E	8	167.051251903	0.0246611140153
PLA2G2D	35	24.1596395938	0.00726279058524
PLA2G2C	22	30.1273034468	0.00799686633359
UBXN10	23	96.9458547522	0.0223060918483
VWA5B1	81	5.27560191171	0.0029301565276
CAMK2N1	3	651.626182103	0.064525791218
MUL1	10	215.136307466	0.0244331561913
CDA	66	0.655444843434	0.00105532038952
DDOST	59	36.0230507824	0.00876532912368
EIF4G3	26	35.0268258825	0.00895972723486
ECE1	85	0.713749017677	0.000690278538408
NBPF3	29	9.91327955011	0.00608997327947
ALPL	0	664.687940233	0.219923614183
HSPG2	30	22.4545573319	0.00892195396663
CELA3B	7	304.19871121	0.0298505672067
LINC00339	13	606.631786162	0.0426906356885
CDC42	40	139.340038988	0.0157727541839
WNT4	13	91.3634825621	0.0148148398405
EPHA8	76	3.85524201634	0.00273820763538
C1QA	3	257.175676396	0.0678281083309
C1QB	3	1913.47957464	0.0661821642427
EPHB2	61	5.92235174008	0.00323440999229
KDM1A	39	8.63541251725	0.00783804332889
LUZP1	16	92.6077511881	0.0146391366099
HTR1D	9	239.773751627	0.0239246277526
TCEA3	70	4.92798621274	0.00261053017328
ASAP3	10	30.0284609477	0.0226126391345
E2F2	1	11807.1255929	0.202264657082
ID3	14	168793.297285	0.70167978153
MDS2	9	197.436354955	0.0220244075189
RPL11	54	10783.7528375	0.199374761117
NCMAP	80	0.238921441656	0.000505974585129
SRRM1	6	242.113330844	0.0484127779568
CLIC4	81	5.44906351989	0.00548733088978
TMEM50A	73	5.6299953615	0.00567715750987
RHCE	10	68.6601846911	0.0183572157662
LDLRAP1	31	37.6378231934	0.00817971804085
MAN1C1	5	463.438072624	0.0392170032475
MTFR1L	76	33.1502778182	0.0115476507782
AUNIP	35	23.0353391745	0.00904491513951
PAQR7	23	42.5677742447	0.0107307278387
STMN1	11	348.315762782	0.0573989744092
PAFAH2	1	13148.8048227	0.203637252405
EXTL1	19	24.6505629146	0.0094707089995
SLC30A2	6	482.817786841	0.0325440628879
TRIM63	27	8.33596206227	0.00695479425335
PDIK1L	4	1007.84930642	0.0655873493373
FAM110D	12	130.486291784	0.0190777956932
ZNF593	22	775.552812067	0.0385543403032
CNKSR1	30	19.0422971844	0.0062199651925
CATSPER4	43	3.98741873099	0.00271082304437
CEP85	45	30.0046751447	0.0140406906772
