GENE	DISTANCE	EXPRESSION	DSB
C1ORF86	5	741.579460017	0.0386390274924
SKI	26	24.8742471762	0.00771236309634
MORN1	6	275.491787446	0.0338930223688
RER1	4	804.761805728	0.0599058473402
PEX10	27	18.6426854502	0.00950414457764
PLCH2	89	1.50371931939	0.00281937189365
PRDM16	59	2.37510297381	0.00191712044733
ACOT7	90	3.87798660527	0.00332790674294
HES2	56	1.54891946669	0.00326001433964
ESPN	53	6.01458754596	0.00485623769674
TNFRSF25	10	249.986443572	0.0221470973676
PLEKHG5	20	41.4375603798	0.0100214518938
NOL9	1	14162.0630678	0.200752744885
TAS1R1	3	1127.83787243	0.0658968280682
ZBTB48	21	76.4254384748	0.013604270235
KLHL21	46	13.4043302901	0.0048416581836
PHF13	55	29.4148020158	0.00798187860182
THAP3	66	18.0487843843	0.00543206015398
DNAJC11	22	37.8411930675	0.00920993311521
CAMTA1	59	1.21154180789	0.00116287117536
TNFRSF9	39	12.670055175	0.00603661529888
PARK7	55	19.4112844618	0.00565942005823
RERE	33	13.758606779	0.00452795383459
ENO1	27	65172.0945827	0.473235048097
ENO1-AS1	25	5640.83952828	0.425936436425
CA6	92	1.58421731697	0.00370755309056
SLC2A7	85	2.49601808692	0.00322609728002
SLC2A5	39	21.0126883886	0.00653491770625
GPR157	17	48.0885474369	0.0136806745856
H6PD	36	11.6251096399	0.00652249917292
SPSB1	4	233.289661905	0.0525175453169
SLC25A33	33	12.6939057813	0.0061434921671
TMEM201	15	109.098327338	0.0142812197197
PIK3CD	63	18.4114845583	0.0119083599682
CLSTN1	38	13.8526522135	0.00680872662869
LZIC	90	7.7371061098	0.00430615588941
NMNAT1	93	3.66188654054	0.00289119331381
RBP7	38	11.7214138676	0.00611516857326
UBE4B	2	1756.00293339	0.101262309608
PGD	34	19.3118968263	0.00577360589591
CORT	16	56.2692539247	0.0127101828656
DFFA	18	14.2663015289	0.0155276163248
PEX14	18	81.2319365122	0.0123444281671
CASZ1	77	2.26921251012	0.00321666303093
C1ORF127	40	6.4561981097	0.00514981685496
TARDBP	23	43.2827327752	0.0224153120851
SRMS	26	36.6173545456	0.00820170659481
EXOSC10	65	6.94198766243	0.00417801865197
FBXO2	1	7164.90391625	0.201224253064
FBXO44	3	233.438994244	0.0671746187418
FBXO6	5	579.361396438	0.0412342574568
MAD2L2	24	20.5898588205	0.00935725708228
DRAXIN	33	8.42380975351	0.00452510867753
AGTRAP	77	5.53666222036	0.00317532294472
MTHFR	35	25.714618253	0.0124035711163
CLCN6	37	18.8896289454	0.00585336282805
NPPA-AS1	3	1966.10337476	0.069060986668
KIAA2013	34	28.8503700673	0.0102557068776
PLOD1	41	20.7646354442	0.00652509096073
MFN2	86	10.4844707425	0.0046214100372
TNFRSF1B	46	32.7662289741	0.0104072318974
VPS13D	16	61.9842808563	0.0104554868645
DHRS3	34	19.8765450661	0.00624568155455
TMEM51-AS1	24	13.8097892893	0.00712762682559
TMEM51	24	22.4421740875	0.0090317452624
EFHD2	17	91.8024161216	0.013821028921
CTRC	8	96.13730758	0.0241768795018
CELA2B	46	8.93383133699	0.00432903799985
CASP9	96	4.24171471185	0.00326780274858
DNAJC16	97	3.84786219496	0.00378010978509
SLC25A34	53	3.53904992984	0.00349997909397
SPEN	58	13.7766570439	0.00569138366584
ZBTB17	21	33.3545841675	0.0101764871529
HSPB7	8	223.269884387	0.0250461683035
CLCNKA	9	251.313312711	0.0232904452561
EPHA2	28	17.5629383366	0.0068338005685
ARHGEF19	22	25.1041844558	0.00719902969078
RSG1	7	50.6472752238	0.0330207107191
FBXO42	7	347.793009887	0.0299138033085
SZRD1	5	395.759203443	0.0476850861072
SPATA21	77	2.84126947787	0.00273326971196
NECAP2	78	20.0671309836	0.00748002727647
ATP13A2	23	31.8226160295	0.00808885263107
SDHB	6	554.319615144	0.0339027074076
PADI2	5	824.160600247	0.0398159091359
PADI1	26	17.7839922758	0.0088375840869
PADI4	76	1.18869186591	0.00166314183355
IGSF21	8	173.053596873	0.024302682086
TAS1R2	39	5.67517681017	0.00523510180754
ALDH4A1	7	33.4597247094	0.0275007986966
