GENE	DISTANCE	EXPRESSION	DSB
PRKCZ	128	-0.820200971414	-0.000200939537162
C1ORF86	5	580.129749005	0.041813249407
SKI	26	25.4428376705	0.00898895174212
MORN1	6	286.722569033	0.0349223276171
RER1	4	779.85005012	0.0796864922258
PEX10	27	28.4764132529	0.0107912310726
PLCH2	89	0.0631238387553	0.000774476014954
PANK4	141	16.8074313927	0.0073894713811
HES5	145	-1.17177930775	0.00105241131159
TNFRSF14	169	1.56022122879	0.00234727974813
FAM213B	199	6.35302498873	0.00348713835245
PRDM16	59	6.97010201862	0.00340413948647
ACOT7	90	0.945619082836	0.00209308584329
HES2	56	3.44920698329	0.00287441130974
ESPN	53	2.23875378525	0.00164173574256
TNFRSF25	10	146.970948149	0.0183089734065
PLEKHG5	20	68.3599322063	0.0124122631354
NOL9	1	21740.4896218	0.210280388987
TAS1R1	3	1575.51744491	0.0661793588072
ZBTB48	21	142.10631113	0.0180527698519
KLHL21	46	102.614197865	0.0189537569659
PHF13	55	47.3228276741	0.00909264332528
THAP3	66	11.4689334536	0.00407314502394
DNAJC11	22	31.739785815	0.00896277237274
CAMTA1	59	2.8115152965	0.00273806748581
VAMP3	134	4.68264150038	0.00599846003419
PER3	121	1.31598370828	0.00265539050545
TNFRSF9	39	11.6195969367	0.00476305500295
PARK7	55	20.4599524617	0.00860989243116
ERRFI1	122	1.55234615688	0.00159139002294
RERE	33	13.5299234994	0.0098692053337
ENO1	27	7945.50384458	0.181873136141
ENO1-AS1	25	10154.7153306	0.146262293179
CA6	92	1.60161866164	0.00327599203374
SLC2A7	85	4.1105562991	0.00329197387299
SLC2A5	39	16.4601534223	0.00643368958213
GPR157	17	35.1180442312	0.0110367333164
H6PD	36	17.26125648	0.00762506512092
SPSB1	4	467.529773224	0.050940025101
SLC25A33	33	22.0779869143	0.00623610550258
TMEM201	15	75.9430842155	0.0149549596936
PIK3CD	63	3.45019597641	0.0058869503832
CLSTN1	38	24.201738278	0.00645006260846
CTNNBIP1	123	1.28552706129	0.00272740005193
LZIC	90	2.57460032013	0.0031858331519
NMNAT1	93	5.70688664882	0.00543878601419
RBP7	38	19.5803578977	0.00577252139751
UBE4B	2	3104.07353028	0.102266840569
KIF1B	174	1.72817491427	0.00292369289966
PGD	34	39.3221925537	0.0221002581441
APITD1	2	3318.13947723	0.100761168544
CORT	16	37.7608942449	0.0133635569848
DFFA	18	46.8219381341	0.0124726299122
PEX14	18	77.1537845488	0.0122320601912
CASZ1	77	4.04948546603	0.00395520992598
C1ORF127	40	6.13212516724	0.00307509220348
TARDBP	23	465.086861687	0.0330261613118
MASP2	13	61.1282380034	0.015463369009
SRMS	26	34.0051485334	0.00842555051905
EXOSC10	65	16.2915417515	0.00576866537517
PTCHD2	179	0.0597721936991	0.00111450919356
FBXO2	1	18922.590263	0.197992453921
FBXO44	3	1738.41350813	0.0673084325054
FBXO6	5	276.597614277	0.0398594906142
MAD2L2	24	23.8961585672	0.00935234895668
DRAXIN	33	19.358639314	0.00595129517292
AGTRAP	77	4.9823353	0.00441136808496
MTHFR	35	22774.8529428	0.268370329792
CLCN6	37	37.4534797641	0.010480699219
NPPA-AS1	3	1110.3418611	0.0708244737891
KIAA2013	34	6.86515562725	0.00667218520472
PLOD1	41	20.1939126868	0.00692719729272
MFN2	86	25.2203386036	0.00861940497633
MIIP	125	30.3892953231	0.00838289787095
TNFRSF8	150	6.58246229025	0.00333311995973
TNFRSF1B	46	33.2178474805	0.00982264551933
VPS13D	16	178.6527104	0.0210757505261
DHRS3	34	9.94144200178	0.0099989547551
AADACL4	8	255.882650533	0.025476988424
C1ORF158	82	4.22488789736	0.00397236358156
PRDM2	124	1.43333977117	0.00224123114083
TMEM51-AS1	24	21.9953106804	0.00790720388572
TMEM51	24	28.5355943013	0.00759874146824
FHAD1	117	0.657598788146	0.00177276169748
EFHD2	17	81.4478628952	0.0119686971541
