left	leftchr	leftloc	leftstrand	leftcentromere	right	rightchr	rightloc	rightstrand	rightcentromere	samples	mutations	papers	leftnum	rightnum	fusion
ACBD6	1	180244515	-1	123250000	RRP15	1	218458629	1	123250000	1	1	1	0	0	ACBD6-RRP15
ACSL3	2	223725652	1	91900000	ETV1	7	13930853	-1	58950000	23	1	1	1	0	ACSL3-ETV1
ACTB	7	5566782	-1	58950000	GLI1	12	57853918	1	34550000	6	6	4	1	0	ACTB-GLI1
AGPAT5	8	6565878	1	44350000	MCPH1	8	6264113	1	44350000	1	1	1	0	1	AGPAT5-MCPH1
AGTRAP	1	11796141	1	123250000	BRAF	7	140419127	-1	58950000	1	1	4	0	1	AGTRAP-BRAF
AKAP9	7	91570181	1	58950000	BRAF	7	140419127	-1	58950000	292	4	11	1	1	AKAP9-BRAF
ARFIP1	4	153701089	1	49300000	FHDC1	4	153857504	1	49300000	1	1	1	1	0	ARFIP1-FHDC1
ARID1A	1	27022524	1	123250000	MAST2	1	46252659	1	123250000	153	1	1	0	1	ARID1A-MAST2
ASPSCR1	17	79934683	1	23100000	TFE3	X	48886242	-1	59350000	221	75	33	1	0	ASPSCR1-TFE3
ATG4C	1	63249806	1	123250000	FBXO38	5	147763498	1	47250000	1	1	1	0	0	ATG4C-FBXO38
ATIC	2	216176540	1	91900000	ALK	2	29415640	-1	91900000	99	12	20	1	0	ATIC-ALK
BBS9	7	33168856	1	58950000	PKD1L1	7	47814250	-1	58950000	1	1	1	0	0	BBS9-PKD1L1
BCR	22	23521891	1	13450000	ABL1	9	133589333	1	48150000	8847	5483	248	1	0	BCR-ABL1
BCR	22	23521891	1	13450000	JAK2	9	4985033	1	48150000	134	3	6	1	1	BCR-JAK2
BRD3	9	136895427	-1	48150000	NUTM1	15	34635516	1	17400000	3	2	6	0	0	BRD3-NUTM1
BRD4	19	15347647	-1	25450000	NUTM1	15	34635516	1	17400000	174	19	13	1	0	BRD4-NUTM1
C2orf44	2	24252210	-1	91900000	ALK	2	29415640	-1	91900000	1	1	1	1	0	C2orf44-ALK
CANT1	17	76987799	-1	23100000	ETV4	17	41605212	-1	23100000	2	2	2	0	1	CANT1-ETV4
CARS	11	3022152	-1	52650000	ALK	2	29415640	-1	91900000	4	3	6	1	0	CARS-ALK
CBFA2T3	16	88941266	-1	35600000	GLIS2	16	4364762	1	35600000	594	89	8	0	1	CBFA2T3-GLIS2
CCDC6	10	61548521	-1	39100000	RET	10	43572475	1	39100000	6833	593	164	0	0	CCDC6-RET
CD74	5	149781200	-1	47250000	NRG1	8	31496902	1	44350000	882	11	4	0	1	CD74-NRG1
CD74	5	149781200	-1	47250000	ROS1	6	117609463	-1	59850000	1701	39	51	0	1	CD74-ROS1
CDH11	16	64977656	-1	35600000	USP6	17	5019733	1	23100000	128	13	3	0	1	CDH11-USP6
CDKN2D	19	10677138	-1	25450000	WDFY2	13	52158644	1	17100000	67	13	1	1	0	CDKN2D-WDFY2
CEP89	19	33369902	-1	25450000	BRAF	7	140419127	-1	58950000	38	1	1	0	1	CEP89-BRAF
CHCHD7	8	57124245	1	44350000	PLAG1	8	57073463	-1	44350000	120	4	4	1	1	CHCHD7-PLAG1
CIC	19	42772689	1	25450000	DUX4	4	191005267	1	49300000	39	13	4	1	0	CIC-DUX4
CIC	19	42772689	1	25450000	FOXO4	X	70316047	1	59350000	2	2	3	1	0	CIC-FOXO4
CLCN6	1	11866207	1	123250000	BRAF	7	140419127	-1	58950000	96	1	1	0	1	CLCN6-BRAF
CLIP1	12	122755979	-1	34550000	ROS1	6	117609463	-1	59850000	38	1	1	0	1	CLIP1-ROS1
CLTC	17	57697219	1	23100000	ALK	2	29415640	-1	91900000	173	26	25	1	0	CLTC-ALK
CLTC	17	57697219	1	23100000	TFE3	X	48886242	-1	59350000	3	1	4	1	0	CLTC-TFE3
CNBP	3	128888327	-1	89450000	USP6	17	5019733	1	23100000	1	1	2	0	1	CNBP-USP6
COL1A1	17	48260650	-1	23100000	PDGFB	22	39619364	-1	13450000	400	262	52	0	1	COL1A1-PDGFB
